SNMPv2-SMI::transmission.127.1.1.4.1.2.394596 = Counter32: 2224643476;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394597 = Counter32: 1783114406;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394632 = Counter32: 2237660092;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394633 = Counter32: 2646474607;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394634 = Counter32: 2533045863;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394635 = Counter32: 2610684848;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394636 = Counter32: 3603271012;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394637 = Counter32: 2423277025;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394640 = Counter32: 1525517683;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394641 = Counter32: 904788898;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394642 = Counter32: 551775001;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394643 = Counter32: 1382611326;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394644 = Counter32: 1346573875;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394645 = Counter32: 4147396214;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396648 = Counter32: 4182928861;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396649 = Counter32: 1459509855;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396650 = Counter32: 2926759812;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396651 = Counter32: 1241257742;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396652 = Counter32: 319613429;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396653 = Counter32: 323876344;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396654 = Counter32: 4118084597;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396655 = Counter32: 3876050333;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396696 = Counter32: 2449487771;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396697 = Counter32: 2416157264;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396698 = Counter32: 2307921992;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396699 = Counter32: 2356072650;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396700 = Counter32: 124733251;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396701 = Counter32: 4172210483;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396704 = Counter32: 1236594626;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396705 = Counter32: 1094268409;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396706 = Counter32: 1319128290;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396707 = Counter32: 1126166176;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396708 = Counter32: 328073627;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396709 = Counter32: 368744996;127.0.192.8 
